date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:06	31671/31671	---M-Z	200	added ('OK')	text/html	etag:W/%22607e5078-7bb7%22	https://shubhamgupta100.github.io/shubham_portfolio/	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/index.html	(from )
15:58:06	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f77c9f3-239b%22	https://shubhamgupta100.github.io/robots.txt		(from )
15:58:07	19251/19251	---M-Z	200	added ('OK')	text/css	etag:W/%22607e5078-4b33%22	https://shubhamgupta100.github.io/shubham_portfolio/css/style.css	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/css/style.css	(from https://shubhamgupta100.github.io/shubham_portfolio/)
15:58:08	366147/366147	---M--	200	added ('OK')	image/jpeg	etag:%22607e5078-59643%22	https://shubhamgupta100.github.io/shubham_portfolio/images/shubh/about.jpg	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/images/shubh/about.jpg	(from https://shubhamgupta100.github.io/shubham_portfolio/)
15:58:08	1027/1027	---M-Z	200	added ('OK')	text/css	etag:W/%22607e5078-403%22	https://shubhamgupta100.github.io/shubham_portfolio/css/skins/blue.css	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/css/skins/blue.css	(from https://shubhamgupta100.github.io/shubham_portfolio/)
15:58:08	857/857	---M-Z	200	added ('OK')	text/css	etag:W/%22607e5078-359%22	https://shubhamgupta100.github.io/shubham_portfolio/css/styleSwitcher.css	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/css/styleSwitcher.css	(from https://shubhamgupta100.github.io/shubham_portfolio/)
15:58:09	154526/154526	---M--	200	added ('OK')	image/png	etag:%22607e5078-25b9e%22	https://shubhamgupta100.github.io/shubham_portfolio/certificate/Python.png	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/certificate/Python.png	(from https://shubhamgupta100.github.io/shubham_portfolio/)
15:58:16	783127/783127	---M--	200	added ('OK')	image/png	etag:%22607e5078-bf317%22	https://shubhamgupta100.github.io/shubham_portfolio/certificate/TopPerformer.png	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/certificate/TopPerformer.png	(from https://shubhamgupta100.github.io/shubham_portfolio/)
15:58:16	3627/3627	---M-Z	200	added ('OK')	application/javascript	etag:W/%22607e5078-e2b%22	https://shubhamgupta100.github.io/shubham_portfolio/js/script.js	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/js/script.js	(from https://shubhamgupta100.github.io/shubham_portfolio/)
15:58:17	939/939	---M-Z	200	added ('OK')	application/javascript	etag:W/%22607e5078-3ab%22	https://shubhamgupta100.github.io/shubham_portfolio/js/styleSwitcher.js	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/js/styleSwitcher.js	(from https://shubhamgupta100.github.io/shubham_portfolio/)
15:58:17	1168987/1168987	---M--	200	added ('OK')	image/jpeg	etag:%22607e5078-11d65b%22	https://shubhamgupta100.github.io/shubham_portfolio/certificate/udemy.jpg	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/certificate/udemy.jpg	(from https://shubhamgupta100.github.io/shubham_portfolio/)
15:58:17	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	D:/Manish%20kapoor/Manish%20kapoor/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://shubhamgupta100.github.io/shubham_portfolio/css/style.css)
15:58:19	146144/146144	---M--	200	added ('OK')	application/pdf	etag:%22607e5078-23ae0%22	https://shubhamgupta100.github.io/shubham_portfolio/resume/ShubhamCV.pdf	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/resume/ShubhamCV.pdf	(from https://shubhamgupta100.github.io/shubham_portfolio/)
15:58:19	192538/192538	---M--	200	added ('OK')	image/jpeg	etag:%22607e5078-2f01a%22	https://shubhamgupta100.github.io/shubham_portfolio/images/shubh/c.jpg	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/images/shubh/c.jpg	(from https://shubhamgupta100.github.io/shubham_portfolio/css/style.css)
15:58:22	788591/788591	---M--	200	added ('OK')	image/png	etag:%22607e5078-c086f%22	https://shubhamgupta100.github.io/shubham_portfolio/certificate/TopPerformerBackend.png	D:/Manish%20kapoor/Manish%20kapoor/shubhamgupta100.github.io/shubham_portfolio/certificate/TopPerformerBackend.png	(from https://shubhamgupta100.github.io/shubham_portfolio/)
